DR11	0.5919440530947591
DR12	0.23636421616670414
DR13	0.35722495425546846
DR14	0.31709019477574113
DR15	0.3551601872854457
DR16	0.20136429911240852
DR17	0.35150410166867774
DR18	0.49743257259863793
DR19	0.5026697543481293
DR20	0.7287686052801639
DR21	0.3392799612025848
DR22	0.6574440419671227
DR23	0.456995621371069
DR24	0.2563691007503139
DR25	0.22846214799348796
DR26	0.30666666666666664
DR27	0.36908909282106767
DR28	0.40940951490904204
DR29	0.2903914952346401
DR30	1.6817506901718318
DR31	0.8789841881158811
